Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
Vons #1623,4001 Inglewood Ave,None,Redondo Beach,90278,Los Angeles,-118.3622,33.89222
Vons #1707,561 North Glendale Avenue,None,Glendale,91206,Los Angeles,-118.2447,34.15498
Vons #2598,3233 Foothill Blvd,None,La Crescenta,91214,Los Angeles,-118.250183,34.230807
Pavilions #2813,29211 Heathercliff Rd,None,Malibu,90265,Los Angeles,-118.809576,34.020492
Vons #3325,26518 Bouquet Canyon Rd,None,Saugus,91350,Los Angeles,-118.536345,34.428093
Vons #2047,5805 E Los Angeles Ave,None,Simi Valley,93063,Ventura,-118.678154,34.271782
Raul'S Market,11214 S Central Ave,None,Los Angeles,90059,Los Angeles,-118.2538,33.9325
Rowan Food Market,535 S Rowan Ave,None,Los Angeles,90063,Los Angeles,-118.1876,34.02943
La Bodega Ranch Market Jrs,6688 Long Beach Blvd,None,Long Beach,90805,Los Angeles,-118.2028,33.87582
La Bodega Market #4,1420 East Anaheim Street,None,Long Beach,90813,Los Angeles,-118.1739,33.78231
La Cachanilla #5,1135 N White Ave,None,Pomona,91768,Los Angeles,-117.7596,34.06842
La Hacienda Meat Market,13305 Prairie Ave,None,Hawthorne,90250,Los Angeles,-118.3441,33.91182
Baby'S Nutrition Center,7612 California Ave,None,Huntington Park,90255,Los Angeles,-118.2037,33.96812
Green Farm Market,2301 West Rosecrans Avenue,None,Gardena,90249,Los Angeles,-118.2893,33.90179
Ralphs #055,521 Foothill Blvd,None,La Canada,91011,Los Angeles,-118.1897,34.20084
Ralphs #064,14919 Whittier Blvd,None,Whittier,90605,Los Angeles,-118.0072,33.95
Ralphs #178,6290 E Pacific Coast Hwy,None,Long Beach,90803,Los Angeles,-118.1163,33.76118
Ralphs #648,2600 W Victory Blvd,None,Burbank,91505,Los Angeles,-118.3394,34.18396
Ralphs #196,2250 E Carson St,None,Long Beach,90807,Los Angeles,-118.1651,33.8308
Ralphs #759,10861 Weyburn Ave,None,Los Angeles,90024,Los Angeles,-118.4441,34.06312
Ralphs #022,645 W 9Th St,None,Los Angeles,90015,Los Angeles,-118.2609,34.04564
Stater Bros. Markets #048,2090 Foothill Blvd,None,La Verne,91750,Los Angeles,-117.7663,34.11236
Stater Bros. Markets #070,12523 Alondra Blvd,None,Norwalk,90650,Los Angeles,-118.0655,33.88841
Stater Bros. Markets #134,12800 La Mirada Blvd,None,La Mirada,90638,Los Angeles,-118.0107,33.91559
Stater Bros. Markets #144,1850 E Avenue J,None,Lancaster,93535,Los Angeles,-118.0958,34.68832
Stater Bros. Markets #146,2845 W Avenue L,None,Lancaster,93536,Los Angeles,-118.1824,34.66159
Stater Bros. Markets #154,11300 Firestone Blvd,None,Norwalk,90650,Los Angeles,-118.0931,33.91797
Stater Bros. Markets #196,660 E Los Angeles Ave,None,Simi Valley,93065,Ventura,-118.7841,34.27041
Super A Foods #1,5595 Rosemead Blvd,None,Temple City,91780,Los Angeles,-118.0751,34.10128
Mother'S Nutritional Center #401,3361 Tweedy Blvd,None,South Gate,90280,Los Angeles,-118.2099,33.94489
Mothers Nutritional Ctr#414,10016 E Garvey Ave Unit 4,None,El Monte,91733,Los Angeles,-118.0506,34.06226
Mothers Nutritional Ctr#423,4243 Maine Ave,None,Baldwin Park,91706,Los Angeles,-117.9616,34.08933
Mother'S Nutritional Center #432,13927 San Antonio Ave,None,Norwalk,90650,Los Angeles,-118.0803,33.90477
Mothers Nutritional Ctr#600,21013 Sherman Way Ste 5,None,Canoga Park,91303,Los Angeles,-118.5916,34.20198
Mothers Nutritional Ctr#606,15212 S Western Ave Ste C,None,Gardena,90249,Los Angeles,-118.309153,33.893226
Mother'S Nutritional Center #236,1900 North Long Beach Blvd Suite 109,None,Compton,90221,Los Angeles,-118.208,33.9087
El Super #03,5646 Whittier Blvd,None,Commerce,90022,Los Angeles,-118.1491,34.01755
Union Plaza Market,1629 W 6Th St,None,Los Angeles,90017,Los Angeles,-118.2696,34.05734
