year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8
2020,AL,Alabama,Franklin,01059,01059973700,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.3,14.8,15.8,5896,"{'type': 'Point', 'coordinates': [-87.69892235, 34.35788687]}",01059973700,RISKBEH,BINGE,CrdPrv,Binge Drinking,29,99
2020,AL,Alabama,Geneva,01061,01061050600,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,28.0,26.8,29.5,3762,"{'type': 'Point', 'coordinates': [-85.5251291, 31.09178193]}",01061050600,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,1547
2020,AL,Alabama,Jackson,01071,01071950300,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,27.8,26.7,28.9,5897,"{'type': 'Point', 'coordinates': [-85.92881536, 34.8858498]}",01071950300,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,1630
2020,AL,Alabama,Jackson,01071,01071950600,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,41.1,39.8,42.2,5951,"{'type': 'Point', 'coordinates': [-86.04863045, 34.7590051]}",01071950600,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,29,1630
2020,AL,Alabama,Jackson,01071,01071951100,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.4,40.3,42.6,7095,"{'type': 'Point', 'coordinates': [-85.97061833, 34.56875159]}",01071951100,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1630
2020,AL,Alabama,Jefferson,01073,01073000100,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,19.1,18.3,20.0,3042,"{'type': 'Point', 'coordinates': [-86.72283792, 33.57944548]}",01073000100,HLTHOUT,DIABETES,CrdPrv,Diabetes,29,1583
2020,AL,Alabama,Jefferson,01073,01073000500,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,23.7,22.3,25.0,2864,"{'type': 'Point', 'coordinates': [-86.77496601, 33.54421841]}",01073000500,HLTHOUT,DIABETES,CrdPrv,Diabetes,29,1583
2020,AL,Alabama,Jefferson,01073,01073000800,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,8.1,7.3,8.9,3859,"{'type': 'Point', 'coordinates': [-86.83247119, 33.5499672]}",01073000800,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073001400,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,6.5,5.6,7.4,2181,"{'type': 'Point', 'coordinates': [-86.83522794, 33.52620575]}",01073001400,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073001902,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,7.1,6.5,7.7,1894,"{'type': 'Point', 'coordinates': [-86.74299569, 33.5532284]}",01073001902,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073002200,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.4,4.9,6.0,2630,"{'type': 'Point', 'coordinates': [-86.72772315, 33.55213315]}",01073002200,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073002400,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.2,28.0,30.3,3629,"{'type': 'Point', 'coordinates': [-86.78307076, 33.52606644]}",01073002400,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,29,1583
2020,AL,Alabama,Jefferson,01073,01073003100,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.9,5.3,6.5,3637,"{'type': 'Point', 'coordinates': [-86.87455558, 33.50597428]}",01073003100,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073003400,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.9,5.3,6.6,2477,"{'type': 'Point', 'coordinates': [-86.90151299, 33.50527349]}",01073003400,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073003700,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,6.1,5.6,6.6,5063,"{'type': 'Point', 'coordinates': [-86.89076161, 33.496916]}",01073003700,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073004701,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,20.7,23.2,3480,"{'type': 'Point', 'coordinates': [-86.7836572, 33.50756315]}",01073004701,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,1583
2020,AL,Alabama,Jefferson,01073,01073004800,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,2.4,3.0,1861,"{'type': 'Point', 'coordinates': [-86.78258099, 33.49888348]}",01073004800,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073010402,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.2,3.9,4.6,1855,"{'type': 'Point', 'coordinates': [-86.97871972, 33.3806793]}",01073010402,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073010802,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.6,5.4,8.3,3448,"{'type': 'Point', 'coordinates': [-86.76308889, 33.48895376]}",01073010802,PREVENT,ACCESS2,CrdPrv,Health Insurance,29,1583
2020,AL,Alabama,Jefferson,01073,01073011301,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.9,3.6,4.2,3621,"{'type': 'Point', 'coordinates': [-86.7158811, 33.76594797]}",01073011301,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073012002,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.1,2.8,3.4,6387,"{'type': 'Point', 'coordinates': [-86.8238572, 33.59729727]}",01073012002,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Jefferson,01073,01073012912,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,8.5,9.3,5473,"{'type': 'Point', 'coordinates': [-86.79411798, 33.38520064]}",01073012912,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,29,1583
2020,AL,Alabama,Jefferson,01073,01073014001,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.5,33.0,35.9,4011,"{'type': 'Point', 'coordinates': [-87.06217271, 33.4665756]}",01073014001,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1583
2020,AL,Alabama,Jefferson,01073,01073014404,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,1.7,1.6,1.9,5433,"{'type': 'Point', 'coordinates': [-86.82138817, 33.4327944]}",01073014404,HLTHOUT,STROKE,CrdPrv,Stroke,29,1583
2020,AL,Alabama,Lamar,01075,01075030200,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.1,25.1,27.1,4162,"{'type': 'Point', 'coordinates': [-88.09654602, 33.60739889]}",01075030200,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,100
2019,AL,Alabama,Lauderdale,01077,01077010100,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,60.2,58.9,61.5,1959,"{'type': 'Point', 'coordinates': [-87.65677067, 34.79629912]}",01077010100,PREVENT,BPMED,CrdPrv,Taking BP Medication,29,1584
2020,AL,Alabama,Lauderdale,01077,01077011802,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,34.7,33.1,36.3,3708,"{'type': 'Point', 'coordinates': [-87.29506991, 34.81249992]}",01077011802,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,29,1584
2020,AL,Alabama,Lawrence,01079,01079979500,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.6,13.7,15.4,6071,"{'type': 'Point', 'coordinates': [-87.20698166, 34.56840552]}",01079979500,HLTHSTAT,PHLTH,CrdPrv,Physical Health,29,1585
2020,AL,Alabama,Lawrence,01079,01079979700,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.1,37.5,40.5,2124,"{'type': 'Point', 'coordinates': [-87.16667569, 34.38065686]}",01079979700,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1585
2020,AL,Alabama,Lee,01081,01081042005,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.5,10.0,10.9,5181,"{'type': 'Point', 'coordinates': [-85.1185619, 32.51037213]}",01081042005,HLTHOUT,DIABETES,CrdPrv,Diabetes,29,1586
2020,AL,Alabama,Lowndes,01085,01085781200,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,79.8,77.5,82.0,2886,"{'type': 'Point', 'coordinates': [-86.58694631, 32.03663432]}",01085781200,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1587
2020,AL,Alabama,Macon,01087,01087231400,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.8,4.5,5.2,1403,"{'type': 'Point', 'coordinates': [-85.52021973, 32.42725372]}",01087231400,HLTHOUT,STROKE,CrdPrv,Stroke,29,101
2020,AL,Alabama,Macon,01087,01087231900,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,23.0,16.0,30.6,1940,"{'type': 'Point', 'coordinates': [-85.71022995, 32.41124316]}",01087231900,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,29,101
2020,AL,Alabama,Madison,01089,01089000503,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.7,3.4,4.1,1878,"{'type': 'Point', 'coordinates': [-86.62846612, 34.76288886]}",01089000503,HLTHOUT,STROKE,CrdPrv,Stroke,29,1588
2020,AL,Alabama,Madison,01089,01089001301,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,44.6,43.1,46.2,3868,"{'type': 'Point', 'coordinates': [-86.63769158, 34.7416012]}",01089001301,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1588
2020,AL,Alabama,Madison,01089,01089002100,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.9,4.5,5.4,3495,"{'type': 'Point', 'coordinates': [-86.60611758, 34.71782519]}",01089002100,HLTHOUT,STROKE,CrdPrv,Stroke,29,1588
2020,AL,Alabama,Madison,01089,01089002721,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.5,29.9,33.1,4039,"{'type': 'Point', 'coordinates': [-86.54783521, 34.65903665]}",01089002721,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1588
2020,AL,Alabama,Marengo,01091,01091973400,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.9,3.5,4.3,4319,"{'type': 'Point', 'coordinates': [-87.91816792, 32.40799948]}",01091973400,HLTHOUT,STROKE,CrdPrv,Stroke,29,1589
2020,AL,Alabama,Marshall,01095,01095030202,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,77.1,74.3,79.9,4820,"{'type': 'Point', 'coordinates': [-86.32117265, 34.47356781]}",01095030202,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1590
2020,AL,Alabama,Marshall,01095,01095030401,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,14.8,12.1,17.8,4583,"{'type': 'Point', 'coordinates': [-86.53941102, 34.32229445]}",01095030401,PREVENT,ACCESS2,CrdPrv,Health Insurance,29,1590
2020,AL,Alabama,Marshall,01095,01095030600,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,77.8,74.3,81.0,6510,"{'type': 'Point', 'coordinates': [-86.3709255, 34.28629501]}",01095030600,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1590
2020,AL,Alabama,Mobile,01097,01097001901,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,31.5,30.2,32.7,2254,"{'type': 'Point', 'coordinates': [-88.09175964, 30.58625706]}",01097001901,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,29,1591
2020,AL,Alabama,Mobile,01097,01097003605,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,0.5,0.4,0.5,791,"{'type': 'Point', 'coordinates': [-88.18253137, 30.69523922]}",01097003605,HLTHOUT,STROKE,CrdPrv,Stroke,29,1591
2020,AL,Alabama,Mobile,01097,01097003703,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.8,16.3,17.4,3425,"{'type': 'Point', 'coordinates': [-88.19968526, 30.6718464]}",01097003703,RISKBEH,BINGE,CrdPrv,Binge Drinking,29,1591
2020,AL,Alabama,Mobile,01097,01097003704,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.9,29.5,32.2,4259,"{'type': 'Point', 'coordinates': [-88.1808289, 30.66874349]}",01097003704,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1591
2020,AL,Alabama,Mobile,01097,01097003800,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,43.6,41.0,46.1,1467,"{'type': 'Point', 'coordinates': [-88.01491456, 30.8247283]}",01097003800,PREVENT,DENTAL,CrdPrv,Dental Visit,29,1591
2020,AL,Alabama,Mobile,01097,01097006000,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.7,39.5,41.7,4996,"{'type': 'Point', 'coordinates': [-88.25495843, 31.08530133]}",01097006000,HLTHOUT,OBESITY,CrdPrv,Obesity,29,1591
2020,AL,Alabama,Mobile,01097,01097006301,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,27.4,26.2,28.6,10520,"{'type': 'Point', 'coordinates': [-88.30095383, 30.77981548]}",01097006301,HLTHOUT,DEPRESSION,CrdPrv,Depression,29,1591
2020,CO,Colorado,Denver,08031,08031004106,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,19.3,18.4,20.3,10138,"{'type': 'Point', 'coordinates': [-104.8706808, 39.77734631]}",08031004106,HLTHOUT,OBESITY,CrdPrv,Obesity,9,1444
2020,CO,Colorado,Prowers,08099,08099000700,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,3.3,3.9,2220,"{'type': 'Point', 'coordinates': [-102.4778942, 37.92184038]}",08099000700,HLTHOUT,STROKE,CrdPrv,Stroke,9,1064
2020,AL,Alabama,Mobile,01097,01097006801,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,77.7,75.0,80.0,7958,"{'type': 'Point', 'coordinates': [-88.22872164, 30.61524071]}",01097006801,PREVENT,MAMMOUSE,CrdPrv,Mammography,29,1591
